category,rank,percentile,gender,branch,college_name
2,40678,77.8495773,0,Civil Engineering,"Government College of Engineering, Amravati"
3,55830,68.2985361,0,Civil Engineering,"Government College of Engineering, Amravati"
4,86718,43.3167495,0,Civil Engineering,"Government College of Engineering, Amravati"
5,45691,74.5106403,0,Civil Engineering,"Government College of Engineering, Amravati"
6,41586,77.0666918,0,Civil Engineering,"Government College of Engineering, Amravati"
7,51711,70.9263207,0,Civil Engineering,"Government College of Engineering, Amravati"
8,49334,72.5765063,0,Civil Engineering,"Government College of Engineering, Amravati"
9,46967,74.0962113,0,Civil Engineering,"Government College of Engineering, Amravati"
2,30535,83.4045178,1,Civil Engineering,"Government College of Engineering, Amravati"
3,50420,71.6451268,1,Civil Engineering,"Government College of Engineering, Amravati"
4,79098,50.9996691,1,Civil Engineering,"Government College of Engineering, Amravati"
5,40679,77.8495773,1,Civil Engineering,"Government College of Engineering, Amravati"
7,72814,55.8902921,1,Civil Engineering,"Government College of Engineering, Amravati"
9,41709,77.0666918,1,Civil Engineering,"Government College of Engineering, Amravati"
11,88218,42.7946749,0,Civil Engineering,"Government College of Engineering, Amravati"
10,19635,89.407761,0,Civil Engineering,"Government College of Engineering, Amravati"
12,98060,32.4992712,0,Civil Engineering,"Government College of Engineering, Amravati"
13,52672,70.2135829,0,Civil Engineering,"Government College of Engineering, Amravati"
2,6412,96.4453291,0,Computer Science and Engineering,"Government College of Engineering, Amravati"
3,9920,94.6469248,0,Computer Science and Engineering,"Government College of Engineering, Amravati"
4,41139,77.1458362,0,Computer Science and Engineering,"Government College of Engineering, Amravati"
5,17056,90.8078665,0,Computer Science and Engineering,"Government College of Engineering, Amravati"
6,7766,95.7384206,0,Computer Science and Engineering,"Government College of Engineering, Amravati"
7,9524,94.8196814,0,Computer Science and Engineering,"Government College of Engineering, Amravati"
8,10818,94.1471246,0,Computer Science and Engineering,"Government College of Engineering, Amravati"
9,6904,96.1905225,0,Computer Science and Engineering,"Government College of Engineering, Amravati"
2,4603,97.3751017,1,Computer Science and Engineering,"Government College of Engineering, Amravati"
3,8998,95.1073753,1,Computer Science and Engineering,"Government College of Engineering, Amravati"
4,32400,82.424443,1,Computer Science and Engineering,"Government College of Engineering, Amravati"
5,15893,91.4761117,1,Computer Science and Engineering,"Government College of Engineering, Amravati"
6,7378,95.95134,1,Computer Science and Engineering,"Government College of Engineering, Amravati"
7,14019,92.4735769,1,Computer Science and Engineering,"Government College of Engineering, Amravati"
9,6218,96.5320687,1,Computer Science and Engineering,"Government College of Engineering, Amravati"
14,79110,50.9996691,0,Computer Science and Engineering,"Government College of Engineering, Amravati"
11,15876,91.4761117,0,Computer Science and Engineering,"Government College of Engineering, Amravati"
10,4763,97.3134328,0,Computer Science and Engineering,"Government College of Engineering, Amravati"
15,79305,50.816249,0,Computer Science and Engineering,"Government College of Engineering, Amravati"
16,23301,87.4346052,0,Computer Science and Engineering,"Government College of Engineering, Amravati"
13,7872,95.7059576,0,Computer Science and Engineering,"Government College of Engineering, Amravati"
2,8456,95.3393686,0,Information Technology,"Government College of Engineering, Amravati"
3,13932,92.5142196,0,Information Technology,"Government College of Engineering, Amravati"
4,44445,75.4846987,0,Information Technology,"Government College of Engineering, Amravati"
5,16510,91.1038771,0,Information Technology,"Government College of Engineering, Amravati"
6,9228,94.9538024,0,Information Technology,"Government College of Engineering, Amravati"
7,9942,94.6205981,0,Information Technology,"Government College of Engineering, Amravati"
8,20505,88.9823699,0,Information Technology,"Government College of Engineering, Amravati"
9,8735,95.2545256,0,Information Technology,"Government College of Engineering, Amravati"
2,8400,95.3875689,1,Information Technology,"Government College of Engineering, Amravati"
3,14435,92.2302228,1,Information Technology,"Government College of Engineering, Amravati"
4,31172,83.1650789,1,Information Technology,"Government College of Engineering, Amravati"
6,21744,88.2761636,1,Information Technology,"Government College of Engineering, Amravati"
7,17754,90.4382847,1,Information Technology,"Government College of Engineering, Amravati"
9,9179,94.9790794,1,Information Technology,"Government College of Engineering, Amravati"
14,80636,49.0525702,0,Information Technology,"Government College of Engineering, Amravati"
11,24544,86.8356112,0,Information Technology,"Government College of Engineering, Amravati"
10,7435,95.9209717,0,Information Technology,"Government College of Engineering, Amravati"
15,93664,37.5478565,0,Information Technology,"Government College of Engineering, Amravati"
12,28236,84.8614274,0,Information Technology,"Government College of Engineering, Amravati"
13,9683,94.7015776,0,Information Technology,"Government College of Engineering, Amravati"
2,26610,85.6827453,0,Electrical Engineering,"Government College of Engineering, Amravati"
3,35923,80.5336015,0,Electrical Engineering,"Government College of Engineering, Amravati"
4,80097,49.556541,0,Electrical Engineering,"Government College of Engineering, Amravati"
5,48372,72.8897104,0,Electrical Engineering,"Government College of Engineering, Amravati"
6,27089,85.4043578,0,Electrical Engineering,"Government College of Engineering, Amravati"
7,36467,80.2656546,0,Electrical Engineering,"Government College of Engineering, Amravati"
8,39928,78.1473584,0,Electrical Engineering,"Government College of Engineering, Amravati"
9,30649,83.3246679,0,Electrical Engineering,"Government College of Engineering, Amravati"
2,26549,85.6913808,1,Electrical Engineering,"Government College of Engineering, Amravati"
3,29692,84.0382056,1,Electrical Engineering,"Government College of Engineering, Amravati"
4,48168,72.8974176,1,Electrical Engineering,"Government College of Engineering, Amravati"
5,40479,77.9458986,1,Electrical Engineering,"Government College of Engineering, Amravati"
7,28122,84.8685155,1,Electrical Engineering,"Government College of Engineering, Amravati"
9,25800,86.1713847,1,Electrical Engineering,"Government College of Engineering, Amravati"
14,54377,69.1685966,0,Electrical Engineering,"Government College of Engineering, Amravati"
11,78548,51.2359011,0,Electrical Engineering,"Government College of Engineering, Amravati"
10,18803,89.9192371,0,Electrical Engineering,"Government College of Engineering, Amravati"
12,110745,18.3037194,0,Electrical Engineering,"Government College of Engineering, Amravati"
13,35192,80.8718313,0,Electrical Engineering,"Government College of Engineering, Amravati"
2,15492,91.6047864,0,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
3,22933,87.6299679,0,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
4,64864,61.8814494,0,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
5,28519,84.6390824,0,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
6,20509,88.9823699,0,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
7,19466,89.5056923,0,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
8,26282,85.8374792,0,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
9,15967,91.4536974,0,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
