seat_type,rank,percentile,gender,college_branch,,,
GOPENS,40678,77.8495773,M,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
GSCS,55830,68.2985361,M,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
GSTS,86718,43.3167495,M,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
GVJS,45691,74.5106403,M,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
GNT1S,41586,77.0666918,M,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
GNT2S,51711,70.9263207,M,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
GNT3S,49334,72.5765063,M,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
GOBCS,46967,74.0962113,M,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
LOPENS,30535,83.4045178,F,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
LSCS,50420,71.6451268,F,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
LSTS,79098,50.9996691,F,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
LVJS,40679,77.8495773,F,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
LNT2S,72814,55.8902921,F,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
LOBCS,41709,77.0666918,F,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
DEFOPENS,88218,42.7946749,M,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
TFWS,19635,89.407761,M,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
DEFROBCS,98060,32.4992712,M,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
EWS,52672,70.2135829,M,"Government College of Engineering, Amravati Civil Engineering",,,"Government College of Engineering, Amravati Civil Engineering "
GOPENS,6412,96.4453291,M,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
GSCS,9920,94.6469248,M,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
GSTS,41139,77.1458362,M,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
GVJS,17056,90.8078665,M,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
GNT1S,7766,95.7384206,M,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
GNT2S,9524,94.8196814,M,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
GNT3S,10818,94.1471246,M,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
GOBCS,6904,96.1905225,M,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
LOPENS,4603,97.3751017,F,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
LSCS,8998,95.1073753,F,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
LSTS,32400,82.424443,F,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
LVJS,15893,91.4761117,F,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
LNT1S,7378,95.95134,F,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
LNT2S,14019,92.4735769,F,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
LOBCS,6218,96.5320687,F,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
PWDOPENS,79110,50.9996691,M,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
DEFOPENS,15876,91.4761117,M,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
TFWS,4763,97.3134328,M,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
"PWDROBC
S",79305,50.816249,M,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
DEFRSCS,23301,87.4346052,M,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
EWS,7872,95.7059576,M,"Government College of Engineering, Amravati Computer Science and Engineering",,,"Government College of Engineering, Amravati Computer Science and Engineering "
GOPENS,8456,95.3393686,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
GSCS,13932,92.5142196,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
GSTS,44445,75.4846987,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
GVJS,16510,91.1038771,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
GNT1S,9228,94.9538024,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
GNT2S,9942,94.6205981,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
GNT3S,20505,88.9823699,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
GOBCS,8735,95.2545256,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
LOPENS,8400,95.3875689,F,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
LSCS,14435,92.2302228,F,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
LSTS,31172,83.1650789,F,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
LNT1S,21744,88.2761636,F,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
LNT2S,17754,90.4382847,F,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
LOBCS,9179,94.9790794,F,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
PWDOPENS,80636,49.0525702,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
DEFOPENS,24544,86.8356112,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
TFWS,7435,95.9209717,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
"PWDROBC
S",93664,37.5478565,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
DEFROBCS,28236,84.8614274,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
EWS,9683,94.7015776,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
